,airport_code,airport_name,year,month,ntsb_accidents,ntsb_incidents,faa_incidents,dataset
1433,APA,Centennial Airport,1988,10,1.0,0.0,0.0,ntsb
50182,APA,Denver Centennial,1988,10,0.0,0.0,1.0,faa
1434,APA,Centennial Airport,1988,12,1.0,0.0,0.0,ntsb
50183,APA,Denver Centennial,1988,12,0.0,0.0,2.0,faa
1435,APA,Centennial Airport,1989,5,1.0,0.0,0.0,ntsb
50187,APA,Denver Centennial,1989,5,0.0,0.0,4.0,faa
1436,APA,Centennial Airport,1989,8,1.0,0.0,0.0,ntsb
50190,APA,Denver Centennial,1989,8,0.0,0.0,2.0,faa
1437,APA,Centennial Airport,1989,9,2.0,0.0,0.0,ntsb
50191,APA,Denver Centennial,1989,9,0.0,0.0,1.0,faa
1438,APA,Centennial Airport,1989,12,1.0,0.0,0.0,ntsb
50193,APA,Denver Centennial,1989,12,0.0,0.0,1.0,faa
1439,APA,Centennial Airport,1990,2,1.0,0.0,0.0,ntsb
50195,APA,Denver Centennial,1990,2,0.0,0.0,4.0,faa
1442,APA,Centennial Airport,1990,9,1.0,0.0,0.0,ntsb
50200,APA,Denver Centennial,1990,9,0.0,0.0,1.0,faa
1443,APA,Centennial Airport,1990,10,2.0,0.0,0.0,ntsb
50201,APA,Denver Centennial,1990,10,0.0,0.0,2.0,faa
1444,APA,Centennial Airport,1991,3,1.0,0.0,0.0,ntsb
50204,APA,Denver Centennial,1991,3,0.0,0.0,2.0,faa
1445,APA,Centennial Airport,1991,5,2.0,0.0,0.0,ntsb
50206,APA,Denver Centennial,1991,5,0.0,0.0,1.0,faa
1446,APA,Centennial Airport,1991,6,1.0,0.0,0.0,ntsb
50207,APA,Denver Centennial,1991,6,0.0,0.0,1.0,faa
1447,APA,Centennial Airport,1991,8,1.0,0.0,0.0,ntsb
50209,APA,Denver Centennial,1991,8,0.0,0.0,3.0,faa
1448,APA,Centennial Airport,1992,1,2.0,0.0,0.0,ntsb
50214,APA,Denver Centennial,1992,1,0.0,0.0,5.0,faa
1450,APA,Centennial Airport,1992,4,1.0,0.0,0.0,ntsb
50216,APA,Denver Centennial,1992,4,0.0,0.0,4.0,faa
