Group,City served,FAA,IATA,ICAO,Airport name,Role,Enpl.
Other public-use airports (not listed in NPIAS),Zeeland,Z98,,,Ottawa Executive Airport,,
Othermilitary,Mount Clemens,MTC,MTC,KMTC,Selfridge ANGB,,
Othermilitary,Traverse City,,,,CGAS Traverse City (at Cherry Capital Airport),,
Notable private-use airports,Ada,2MI5,,,"Somerville Airport (public use in 2005, FAA: 34I)",,
Notable private-use airports,Albion,42MI,,,"Midway Airport (public use in 2002, FAA: 35G)",,
Notable private-use airports,Athens,77MI,,,"David's Airport (David's Field) (public use in 2007, FAA: 9C2)",,
Notable private-use airports,Beaver Island,6Y8,,,Welke Airport,,
Notable private-use airports,DeWitt,MI10,,,Hoerner's Corners Airport,,
Notable private-use airports,Gladstone,43MI,,,"West Gladstone Airport (public use in 2003, FAA: 9C9)",,
Notable private-use airports,St. Johns,82MI,,,"Randolph's Landing Area (Randolph's Airport) (public use in 2008, FAA: 61G)",,
Notable private-use airports,Traverse City,,,,Traverse Area Model Pilots Society (TRAMPS) Aerodrome,,
Notable private-use airports,Vassar,2MI8,,,"Vassar Field (former public use, FAA: 4P4)",,
Notable former airports,Avoca,07D,,,Tackaberry Airport (closed 2010?) [1],,
Notable former airports,Acme,,,,Acme Skyport (closed 1995?)[4],,
Notable former airports,Carson City,47G,,,Mayes Airport (closed 2008?) [2],,
Notable former airports,Dearborn,,,,Ford Airport (closed 1947) [3],,
Notable former airports,East Lansing,2D8,,,Davis Airport (closed 2000) [4] [5],,
Notable former airports,Elk Rapids,34U,,,"Yuba Airport (closed indefinitely, FAA record still active)",,
Notable former airports,Erie,M84,,,Erie Aerodrome (closed 2010?) [6],,
Notable former airports,Gregory,35L,,,Carriage Lane Airport (closed 2007?) [7],,
Notable former airports,Kalamazoo,09C,,,Austin Lake Airport (closed 2001?) [8],,
Notable former airports,Marquette,MQT,,KMQT,Marquette County Airport (closed 1999) [9],,
Notable former airports,Mason,,,,Craft's Field [10],,
Notable former airports,New Lothrop,6B3,,,Bean Blossom Airport (closed 2008?) [11],,
Notable former airports,Onaway,Y96,,,Leo E. Goetz County Airport (closed permanently ~2015-2018),,
Notable former airports,Onsted,MI51,,,"Loar's Field (public use in 2006, FAA: 83G)",,
Notable former airports,Rock,MI00,,,"Bonnie Field (public use in 2008, FAA: 6Y4)",,
Notable former airports,Rothbury,42N,,,Double JJ Resort Ranch Airport (closed 2008?) [12],,
Notable former airports,Standish,Y75,,,Standish Industrial Airport (closed 2006?) [13],,
Notable former airports,Traverse City,,,,Traverse City Ransom Field (closed 1969)[5],,
