,iata,wiki_title,state_names,num_words_matched,max_state
COLLIER STRIP,MCO,Orlando International Airport - Wikipedia,"{'Alaska': 7, 'California': 2, 'Colorado': 3, 'Delaware': 4, 'Florida': 284, 'Georgia': 1, 'Illinois': 3, 'Indiana': 15, 'Kansas': 9, 'Kentucky': 8, 'Massachusetts': 1, 'Michigan': 1, 'New Jersey': 1, 'New Mexico': 1, 'New York': 13, 'North Carolina': 1, 'Oklahoma': 1, 'Pennsylvania': 1, 'Puerto Rico': 1, 'Texas': 1, 'Washington': 35}",0,False
PLOWED FIELD,LAX,Los Angeles International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 35, 'Arizona': 3, 'Arkansas': 4, 'California': 170, 'Colorado': 4, 'Florida': 2, 'Georgia': 1, 'Hawaii': 9, 'Idaho': 3, 'Illinois': 1, 'Indiana': 15, 'Iowa': 3, 'Kansas': 9, 'Kentucky': 8, 'Maryland': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 10, 'North Carolina': 1, 'Ohio': 3, 'Oklahoma': 3, 'Pennsylvania': 2, 'Texas': 9, 'Utah': 1, 'Washington': 43}",0,True
GREATER ROCHESTER INT'L,ROC,Greater Rochester International Airport - Wikipedia,"{'Florida': 9, 'Georgia': 1, 'Illinois': 1, 'Kentucky': 2, 'Maryland': 1, 'Massachusetts': 1, 'Michigan': 1, 'Minnesota': 1, 'New Jersey': 1, 'New York': 87, 'North Carolina': 1, 'Pennsylvania': 1, 'Washington': 22}",2,True
MARTIN STATE,MTN,Martin State Airport - Wikipedia,"{'Georgia': 2, 'Maryland': 73, 'Virginia': 3, 'Washington': 25}",2,True
BULLHEAD CITY,IFP,Laughlin/Bullhead International Airport - Wikipedia,"{'Arizona': 43, 'California': 5, 'Colorado': 5, 'Minnesota': 2, 'Nevada': 10, 'Texas': 1}",0,True
WAIMEA,MUE,Waimea-Kohala Airport - Wikipedia,{'Hawaii': 119},0,True
BOISE,BOI,Boise Airport - Wikipedia,"{'Alaska': 25, 'Arizona': 1, 'California': 2, 'Colorado': 1, 'Idaho': 93, 'Minnesota': 1, 'Montana': 7, 'Nevada': 2, 'New York': 2, 'Oklahoma': 2, 'Oregon': 10, 'Utah': 7, 'Washington': 10, 'Wisconsin': 5, 'Wyoming': 3}",1,True
SANTA MONICA,SMO,Santa Monica Airport - Wikipedia,"{'California': 76, 'New York': 1}",2,True
TONOPAH,TPH,Tonopah Airport - Wikipedia,{'Nevada': 42},1,True
INDIAN CREEK,AZA,Phoenix–Mesa Gateway Airport - Wikipedia,"{'Alaska': 2, 'Arizona': 107, 'Arkansas': 2, 'Hawaii': 1, 'Idaho': 3, 'Illinois': 6, 'Iowa': 5, 'Kansas': 3, 'Kentucky': 2, 'Michigan': 3, 'Missouri': 2, 'Nebraska': 2, 'Nevada': 3, 'North Dakota': 3, 'South Dakota': 3, 'Utah': 1, 'Washington': 4}",0,False
