,year,month,tracon_code,num_obs,AtcAdvisoryMultCount_sum,word_count_sum,unique_word_count_sum,FAA_total_sum,FAA_unique_sum,NASA_total_sum,NASA_unique_sum,AtcAdvisoryMultCount_avg,word_count_avg,unique_word_count_avg,FAA_total_avg,FAA_unique_avg,NASA_total_avg,NASA_unique_avg
108,2003,7,PHL,1,3,252,131,7,4,27,17,3.0,252.0,131.0,7.0,4.0,27.0,17.0
109,2003,8,PHL,1,1,218,112,4,2,36,19,1.0,218.0,112.0,4.0,2.0,36.0,19.0
110,2003,9,MDW,1,1,114,68,6,3,18,10,1.0,114.0,68.0,6.0,3.0,18.0,10.0
111,2004,1,ATL,1,1,373,158,1,1,18,6,1.0,373.0,158.0,1.0,1.0,18.0,6.0
112,2004,2,BWI,1,1,109,73,3,2,22,14,1.0,109.0,73.0,3.0,2.0,22.0,14.0
113,2004,4,ORD,1,1,133,98,7,4,19,15,1.0,133.0,98.0,7.0,4.0,19.0,15.0
114,2004,9,MSP,2,4,244,160,4,4,50,30,2.0,122.0,80.0,2.0,2.0,25.0,15.0
115,2005,8,ORD,1,1,85,66,5,3,18,14,1.0,85.0,66.0,5.0,3.0,18.0,14.0
116,2005,10,MIA,1,1,141,95,2,2,16,11,1.0,141.0,95.0,2.0,2.0,16.0,11.0
117,2006,2,LAX,1,1,457,182,15,6,50,20,1.0,457.0,182.0,15.0,6.0,50.0,20.0
118,2006,3,SEA,1,1,328,165,3,2,28,15,1.0,328.0,165.0,3.0,2.0,28.0,15.0
119,2006,4,MCO,1,1,164,92,4,3,27,16,1.0,164.0,92.0,4.0,3.0,27.0,16.0
120,2006,4,SFO,1,1,418,180,3,2,61,18,1.0,418.0,180.0,3.0,2.0,61.0,18.0
121,2006,9,MEM,1,1,238,116,6,3,49,19,1.0,238.0,116.0,6.0,3.0,49.0,19.0
122,2006,11,MIA,1,1,215,144,3,3,3,3,1.0,215.0,144.0,3.0,3.0,3.0,3.0
123,2006,12,ATL,1,1,562,235,11,4,83,26,1.0,562.0,235.0,11.0,4.0,83.0,26.0
124,2006,12,FLL,1,1,134,92,5,3,17,13,1.0,134.0,92.0,5.0,3.0,17.0,13.0
125,2007,1,LAS,1,1,202,112,5,1,26,12,1.0,202.0,112.0,5.0,1.0,26.0,12.0
126,2007,8,DEN,1,1,38,32,0,0,6,3,1.0,38.0,32.0,0.0,0.0,6.0,3.0
127,2007,10,ORD,1,1,1009,349,28,8,134,45,1.0,1009.0,349.0,28.0,8.0,134.0,45.0
128,2007,11,CLT,1,1,143,77,5,2,27,12,1.0,143.0,77.0,5.0,2.0,27.0,12.0
129,2008,1,CLT,1,1,77,58,4,2,6,4,1.0,77.0,58.0,4.0,2.0,6.0,4.0
130,2009,2,SEA,1,1,57,40,1,1,1,1,1.0,57.0,40.0,1.0,1.0,1.0,1.0
131,2009,11,MIA,1,1,338,146,3,3,0,0,1.0,338.0,146.0,3.0,3.0,0.0,0.0
132,2009,11,MSP,1,1,243,108,0,0,0,0,1.0,243.0,108.0,0.0,0.0,0.0,0.0
133,2009,12,CLT,1,1,39,33,2,2,2,2,1.0,39.0,33.0,2.0,2.0,2.0,2.0
134,2010,7,IAD,1,1,587,204,1,1,2,2,1.0,587.0,204.0,1.0,1.0,2.0,2.0
135,2010,9,PHL,1,1,84,57,0,0,1,1,1.0,84.0,57.0,0.0,0.0,1.0,1.0
136,2011,6,LGA,1,1,451,232,2,2,11,9,1.0,451.0,232.0,2.0,2.0,11.0,9.0
137,2011,8,DEN,1,1,112,56,0,0,0,0,1.0,112.0,56.0,0.0,0.0,0.0,0.0
138,2012,7,PHL,1,1,209,130,3,1,8,4,1.0,209.0,130.0,3.0,1.0,8.0,4.0
139,2012,10,IAD,1,1,15,13,0,0,1,1,1.0,15.0,13.0,0.0,0.0,1.0,1.0
140,2013,12,IAD,1,1,303,153,0,0,5,2,1.0,303.0,153.0,0.0,0.0,5.0,2.0
141,2014,5,ORD,1,1,49,35,1,1,0,0,1.0,49.0,35.0,1.0,1.0,0.0,0.0
142,2014,6,LAS,1,1,89,66,0,0,0,0,1.0,89.0,66.0,0.0,0.0,0.0,0.0
143,2014,9,MDW,1,1,220,102,0,0,0,0,1.0,220.0,102.0,0.0,0.0,0.0,0.0
144,2014,12,MEM,1,1,249,126,2,1,2,1,1.0,249.0,126.0,2.0,1.0,2.0,1.0
145,2015,7,ATL,1,1,216,120,0,0,4,3,1.0,216.0,120.0,0.0,0.0,4.0,3.0
146,2015,8,SEA,1,1,237,124,0,0,0,0,1.0,237.0,124.0,0.0,0.0,0.0,0.0
147,2015,10,BOS,1,1,154,89,0,0,0,0,1.0,154.0,89.0,0.0,0.0,0.0,0.0
148,2016,5,DEN,1,1,438,175,2,2,15,4,1.0,438.0,175.0,2.0,2.0,15.0,4.0
149,2016,11,SLC,1,1,719,269,3,3,9,3,1.0,719.0,269.0,3.0,3.0,9.0,3.0
150,2017,6,SFO,1,1,280,134,1,1,6,4,1.0,280.0,134.0,1.0,1.0,6.0,4.0
151,2018,2,BWI,1,1,211,125,3,3,3,3,1.0,211.0,125.0,3.0,3.0,3.0,3.0
152,2019,1,EWR,1,1,197,111,1,1,9,6,1.0,197.0,111.0,1.0,1.0,9.0,6.0
153,2019,6,LAX,1,1,267,137,0,0,0,0,1.0,267.0,137.0,0.0,0.0,0.0,0.0
