,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/1995 To 01/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , 
Facility,State,Region,Date,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations"
ABQ ,NM,ASW,06/1995,WE,Towers with Radar,"6,057","2,660","1,831","1,121","11,669",0,0,0,0,0,570,240,"2,238",542,"3,590",0,0,0,0,0,436,732,"1,168","16,427","16,427"
ABQ ,NM,ASW,07/1995,WE,Towers with Radar,"6,106","2,736","1,921",844,"11,607",0,0,0,0,0,543,305,"2,221",466,"3,535",0,0,0,0,0,442,594,"1,036","16,178","16,178"
ABQ ,NM,ASW,08/1995,WE,Towers with Radar,"6,141","2,875","2,091","1,181","12,288",0,0,0,0,0,574,405,"2,147",608,"3,734",0,0,0,0,0,358,654,"1,012","17,034","17,034"
ABQ ,NM,ASW,09/1995,WE,Towers with Radar,"5,958","3,012","2,068",946,"11,984",0,0,0,0,0,507,265,"1,934",467,"3,173",0,0,0,0,0,410,614,"1,024","16,181","16,181"
ABQ ,NM,ASW,10/1995,WE,Towers with Radar,"6,480","3,122","2,026",994,"12,622",0,0,0,0,0,598,280,"2,211",636,"3,725",0,0,0,0,0,404,654,"1,058","17,405","17,405"
ABQ ,NM,ASW,11/1995,WE,Towers with Radar,"5,997","3,065","1,823",866,"11,751",0,0,0,0,0,607,282,"2,045",564,"3,498",0,0,0,0,0,330,694,"1,024","16,273","16,273"
ABQ ,NM,ASW,12/1995,WE,Towers with Radar,"6,567","3,267","1,738",850,"12,422",0,0,0,0,0,600,326,"1,755",591,"3,272",0,0,0,0,0,518,564,"1,082","16,776","16,776"
ABQ ,NM,ASW,01/1996,WE,Towers with Radar,"6,570","2,977","1,776",880,"12,203",0,0,0,0,0,587,271,"1,695",601,"3,154",0,0,0,0,0,466,548,"1,014","16,371","16,371"
ABQ ,NM,ASW,02/1996,WE,Towers with Radar,"6,223","2,660","1,725","1,077","11,685",0,0,0,0,0,558,259,"1,720",499,"3,036",0,0,0,0,0,338,586,924,"15,645","15,645"
ABQ ,NM,ASW,03/1996,WE,Towers with Radar,"6,455","2,457","2,535",894,"12,341",0,0,0,0,0,962,256,"2,115",579,"3,912",0,0,0,0,0,322,502,824,"17,077","17,077"
ABQ ,NM,ASW,04/1996,WE,Towers with Radar,"6,622","2,377","2,203",639,"11,841",0,0,0,0,0,601,180,"2,181",520,"3,482",0,0,0,0,0,294,712,"1,006","16,329","16,329"
ABQ ,NM,ASW,05/1996,WE,Towers with Radar,"6,862","2,477","2,419",797,"12,555",0,0,0,0,0,609,186,"2,542",601,"3,938",0,0,0,0,0,340,552,892,"17,385","17,385"
ABQ ,NM,ASW,06/1996,WE,Towers with Radar,"6,784","2,323","2,303",609,"12,019",0,0,0,0,0,527,268,"2,308",453,"3,556",0,0,0,0,0,318,528,846,"16,421","16,421"
ABQ ,NM,ASW,07/1996,WE,Towers with Radar,"7,050","2,489","2,367",577,"12,483",0,0,0,0,0,516,256,"2,082",555,"3,409",0,0,0,0,0,470,469,939,"16,831","16,831"
ABQ ,NM,ASW,08/1996,WE,Towers with Radar,"7,035","2,592","2,415",765,"12,807",0,0,0,0,0,729,265,"2,074",584,"3,652",0,0,0,0,0,454,824,"1,278","17,737","17,737"
ABQ ,NM,ASW,09/1996,WE,Towers with Radar,"6,505","2,326","3,094",833,"12,758",0,0,0,0,0,857,224,"2,217",638,"3,936",0,0,0,0,0,576,734,"1,310","18,004","18,004"
ABQ ,NM,ASW,10/1996,WE,Towers with Radar,"7,333","2,429","3,082",627,"13,471",0,0,0,0,0,323,261,"2,073",717,"3,374",0,0,0,0,0,444,614,"1,058","17,903","17,903"
ABQ ,NM,ASW,11/1996,WE,Towers with Radar,"6,666","2,282","2,603",671,"12,222",0,0,0,0,0,353,277,"1,961",739,"3,330",0,0,0,0,0,416,642,"1,058","16,610","16,610"
