airportcode_new,airportname_new,year,month, Investigation Type _ Accident , Investigation Type _ Incident 
RNA,Ulawa Airport,2008,05,2,0
RNA,Ulawa Airport,2008,07,1,0
RNA,Ulawa Airport,2008,08,2,0
RNA,Ulawa Airport,2008,10,2,0
RNA,Ulawa Airport,2008,11,1,0
RNA,Ulawa Airport,2009,01,1,0
RNA,Ulawa Airport,2009,06,1,0
RNA,Ulawa Airport,2009,09,5,0
RNA,Ulawa Airport,2009,10,2,0
RNA,Ulawa Airport,2010,01,1,0
RNA,Ulawa Airport,2010,05,1,0
RNA,Ulawa Airport,2010,06,1,0
RNA,Ulawa Airport,2010,07,5,0
RNA,Ulawa Airport,2010,08,3,0
RNA,Ulawa Airport,2010,09,3,0
RNA,Ulawa Airport,2010,10,2,0
RNA,Ulawa Airport,2010,12,1,0
RNA,Ulawa Airport,2011,03,2,0
RNA,Ulawa Airport,2011,05,1,0
RNA,Ulawa Airport,2011,06,5,0
RNA,Ulawa Airport,2011,07,4,0
RNA,Ulawa Airport,2011,08,3,0
RNA,Ulawa Airport,2011,09,1,0
RNA,Ulawa Airport,2011,10,1,0
RNA,Ulawa Airport,2011,11,1,0
RNA,Ulawa Airport,2012,01,2,0
RNA,Ulawa Airport,2012,02,1,0
RNA,Ulawa Airport,2012,04,2,0
RNA,Ulawa Airport,2012,06,4,0
RNA,Ulawa Airport,2012,09,1,0
RNA,Ulawa Airport,2012,10,2,0
RNA,Ulawa Airport,2012,11,3,0
RNA,Ulawa Airport,2013,05,1,0
RNA,Ulawa Airport,2013,06,3,0
RNA,Ulawa Airport,2013,07,3,0
RNA,Ulawa Airport,2013,08,2,0
RNA,Ulawa Airport,2014,06,3,0
RNA,Ulawa Airport,2014,07,2,0
RNA,Ulawa Airport,2014,09,2,0
RNA,Ulawa Airport,2014,10,2,0
RNA,Ulawa Airport,2014,11,1,0
RNA,Ulawa Airport,2014,12,2,0
RNA,Ulawa Airport,2015,05,1,0
RNA,Ulawa Airport,2015,06,1,0
RNA,Ulawa Airport,2015,08,1,0
