
From 01/1989 To 01/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , ,
Date,Facility,State,Region,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations",
11/1989,ATL ,GA,ASO,ES,Towers with Radar,"44,747","13,004","1,771",87,"59,609",0,0,0,0,0,"1,472",579,257,20,"2,328",0,0,0,0,0,91,4,95,"62,032","62,032",
Sub-Total for Unknown,,,,,,"52,372","17,061","3,883",185,"73,501",0,0,0,0,0,"1,848",817,409,54,"3,128",0,0,0,0,0,"1,238",22,"1,260","77,889","77,889",
11/1989,BDL ,CT,ANE,EN,Combined TRACON & Tower with Radar,"4,955","4,793","2,817",483,"13,048",0,0,0,0,0,365,362,415,130,"1,272",0,0,0,0,0,270,11,281,"14,601","14,601",
11/1989,BNA ,TN,ASO,CE,Towers with Radar,"8,559","4,683","5,998",451,"19,691",0,0,0,0,0,444,254,411,79,"1,188",0,0,0,0,0,210,2,212,"21,091","21,091",
11/1989,BOS ,MA,ANE,EN,Combined TRACON & Tower with Radar,"18,655","11,095","3,126",18,"32,894",0,0,"1,224",6,"1,230","1,185",350,736,18,"2,289",0,0,0,0,0,332,0,332,"35,515","36,745",
11/1989,BWI ,MD,AEA,EN,Towers with Radar,"12,738","6,656","4,358",49,"23,801",0,0,0,0,0,589,290,320,27,"1,226",0,0,0,0,0,108,16,124,"25,151","25,151",
Sub-Total for EN,,,,,,"31,393","17,751","7,484",67,"56,695",0,0,"1,224",6,"1,230","1,774",640,"1,056",45,"3,515",0,0,0,0,0,440,16,456,"60,666","61,896",
11/1989,CLE ,OH,AGL,CE,Towers with Radar,"11,129","5,044","2,975",190,"19,338",0,0,0,0,0,684,192,183,33,"1,092",0,0,0,0,0,60,0,60,"20,490","20,490",
11/1989,CLT ,NC,ASO,ES,Towers with Radar,"19,480","9,639","6,125",193,"35,437",0,0,0,0,0,787,279,672,70,"1,808",0,0,0,0,0,0,0,0,"37,245","37,245",
11/1989,CVG ,KY,ASO,CE,Towers with Radar,"9,525","9,877","1,755",110,"21,267",0,0,0,0,0,541,434,"1,035",46,"2,056",0,0,0,0,0,22,0,22,"23,345","23,345",
Sub-Total for ASO,,,,,,"29,005","19,516","7,880",303,"56,704",0,0,0,0,0,"1,328",713,"1,707",116,"3,864",0,0,0,0,0,22,0,22,"60,590","60,590",
11/1989,DAY ,OH,AGL,CE,Towers with Radar,"7,889","3,847","2,179",1,"13,916",0,0,0,0,0,398,204,320,8,930,0,0,0,0,0,182,0,182,"15,028","15,028",
Sub-Total for CE,,,,,,"17,414","13,724","3,934",111,"35,183",0,0,0,0,0,939,638,"1,355",54,"2,986",0,0,0,0,0,204,0,204,"38,373","38,373",
11/1989,DCA ,DC,AEA,EN,Towers with Radar,"15,349","4,214","5,257",10,"24,830",0,0,0,0,0,764,288,519,12,"1,583",0,0,0,0,0,4,0,4,"26,417","26,417",
