,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/1994 To 01/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , 
Date,Facility,Region,State,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations"
01/1994,DEN ,ANM,CO,WE,Combined TRACON & Tower with Radar,"28,565","15,436","1,987",68,"46,056",0,79,574,26,679,549,411,224,23,"1,207",0,0,0,0,0,0,0,0,"47,263","47,942"
01/1994,DET ,AGL,MI,CE,Towers with Display (VFR),0,370,"1,707",4,"2,081",0,0,0,0,0,4,118,"2,428",28,"2,578",0,0,0,0,0,"1,010",0,"1,010","5,669","5,669"
01/1994,DFW ,ASW,TX,CE,Combined TRACON & Tower with Radar,"49,937","16,351",907,43,"67,238",0,0,0,0,0,569,409,221,21,"1,220",0,0,0,0,0,0,0,0,"68,458","68,458"
01/1994,DHN ,ASO,AL,ES,Towers with Display (VFR),1,557,"1,136",537,"2,231",0,0,0,0,0,5,99,"1,375",490,"1,969",0,0,0,0,0,"2,234",611,"2,845","7,045","7,045"
01/1994,DLH ,AGL,MN,CE,Towers with Radar,248,546,527,211,"1,532",0,0,0,0,0,50,78,484,162,774,0,0,0,0,0,676,410,"1,086","3,392","3,392"
01/1994,DPA ,AGL,IL,CE,Towers with Display (VFR),0,0,"1,308",0,"1,308",0,0,0,0,0,0,14,"2,463",23,"2,500",0,0,0,0,0,"3,077",4,"3,081","6,889","6,889"
01/1994,DSM ,ACE,IA,CE,Towers with Radar,"2,117","1,669","2,926",150,"6,862",0,0,0,0,0,194,231,186,97,708,0,0,0,0,0,531,90,621,"8,191","8,191"
01/1994,DTN ,ASW,LA,CE,Towers with Display (VFR),0,17,283,0,300,0,0,0,0,0,0,20,"1,132",9,"1,161",0,0,0,0,0,"2,014",4,"2,018","3,479","3,479"
01/1994,DTW ,AGL,MI,CE,Combined TRACON & Tower with Radar,"24,022","6,743","3,592",87,"34,444",0,0,0,0,0,784,413,485,38,"1,720",0,0,0,0,0,0,0,0,"36,164","36,164"
01/1994,DVT ,AWP,AZ,WE,Towers with Display (VFR),0,44,154,0,198,0,0,0,0,0,0,499,"9,102",13,"9,614",0,0,0,0,0,"9,022",0,"9,022","18,834","18,834"
01/1994,DWH ,ASW,TX,CE,Towers with Display (VFR),0,0,713,0,713,0,0,0,0,0,0,0,"4,969",0,"4,969",0,0,0,0,0,"7,334",0,"7,334","13,016","13,016"
01/1994,DXR ,ANE,CT,EN,Towers with Display (VFR),0,0,145,0,145,0,0,0,0,0,0,1,"2,110",5,"2,116",0,0,0,0,0,"1,778",0,"1,778","4,039","4,039"
01/1994,ELM ,AEA,NY,EN,Towers with Radar,188,753,675,0,"1,616",0,0,0,0,0,39,218,584,10,851,0,0,0,0,0,"1,846",0,"1,846","4,313","4,313"
01/1994,ELP ,ASW,TX,WE,Towers with Radar,"4,827",522,"4,453",257,"10,059",0,0,0,0,0,251,30,191,27,499,0,0,0,0,0,"1,160",168,"1,328","11,886","11,886"
01/1994,EMT ,AWP,CA,WE,Towers with Display (VFR),0,11,456,0,467,0,0,0,0,0,0,180,"6,931",153,"7,264",0,0,0,0,0,"4,478",0,"4,478","12,209","12,209"
01/1994,ENA ,AAL,AK,WE,Towers with Display (VFR),0,896,21,28,945,0,0,0,0,0,7,"1,838",890,74,"2,809",0,0,0,0,0,"1,080",490,"1,570","5,324","5,324"
01/1994,ERI ,AEA,PA,CE,Towers with Radar,185,582,767,9,"1,543",0,0,0,0,0,30,61,175,26,292,0,0,0,0,0,398,20,418,"2,253","2,253"
01/1994,ESF ,ASW,LA,CE,Towers with Display (VFR),0,670,354,82,"1,106",0,0,0,0,0,0,74,363,85,522,0,0,0,0,0,302,88,390,"2,018","2,018"
01/1994,EUG ,ANM,OR,WE,Towers with Radar,554,"1,386","1,252",72,"3,264",0,0,0,0,0,83,277,"1,863",62,"2,285",0,0,0,0,0,"3,571",148,"3,719","9,268","9,268"
01/1994,EVV ,AGL,IN,CE,Towers with Radar,200,"2,085","1,500",13,"3,798",0,0,0,0,0,38,125,126,16,305,0,0,0,0,0,978,26,"1,004","5,107","5,107"
01/1994,EWB ,ANE,MA,EN,Towers with Display (VFR),0,63,440,14,517,0,0,0,0,0,0,246,"1,608",28,"1,882",0,0,0,0,0,"1,730",22,"1,752","4,151","4,151"
01/1994,EWR ,AEA,NJ,EN,Combined TRACON & Tower with Radar,"23,700","8,302","1,487",6,"33,495",0,35,"1,277",8,"1,320",342,239,79,10,670,0,0,0,0,0,0,0,0,"34,165","35,485"
01/1994,EYW ,ASO,FL,ES,Towers with Display (VFR),0,"2,910","1,163",10,"4,083",0,0,0,0,0,0,373,"2,359",44,"2,776",0,0,0,0,0,"1,699",43,"1,742","8,601","8,601"
