,0
trcn_invall_flfrm_narrsyn_6m,982
trcn_invall_flfrm_ct_narrsyn_6m,982
trcn_all_flfrm_narrsyn_6m,300
trcn_all_flfrm_ct_narrsyn_6m,300
trcn_all_flfrm_vol_narrsyn_6m,300
trcn_narrsyn_6m,2224
trcn_ct_narrsyn_6m,2224
trcn_vol_narrsyn_6m,2224
trcn_invout_narrsyn_6m,982
trcn_invout_ct_narrsyn_6m,982
trcn_out_narrsyn_6m,300
trcn_out_ct_narrsyn_6m,300
trcn_out_vol_narrsyn_6m,300
trcn_invall_narrsyn_6m,982
trcn_invall_ct_narrsyn_6m,982
trcn_all_narrsyn_6m,300
trcn_all_ct_narrsyn_6m,300
trcn_all_vol_narrsyn_6m,300
trcn_flfrm_narrsyn_12m,1076
trcn_flfrm_ct_narrsyn_12m,1076
trcn_flfrm_vol_narrsyn_12m,1076
trcn_invout_flfrm_narrsyn_12m,751
trcn_invout_flfrm_ct_narrsyn_12m,751
trcn_out_flfrm_narrsyn_12m,600
trcn_out_flfrm_ct_narrsyn_12m,600
trcn_out_flfrm_vol_narrsyn_12m,600
trcn_invall_flfrm_narrsyn_12m,751
trcn_invall_flfrm_ct_narrsyn_12m,751
trcn_all_flfrm_narrsyn_12m,600
trcn_all_flfrm_ct_narrsyn_12m,600
trcn_all_flfrm_vol_narrsyn_12m,600
trcn_narrsyn_12m,1076
trcn_ct_narrsyn_12m,1076
trcn_vol_narrsyn_12m,1076
trcn_invout_narrsyn_12m,751
trcn_invout_ct_narrsyn_12m,751
trcn_out_narrsyn_12m,600
trcn_out_ct_narrsyn_12m,600
trcn_out_vol_narrsyn_12m,600
trcn_invall_narrsyn_12m,751
trcn_invall_ct_narrsyn_12m,751
trcn_all_narrsyn_12m,600
trcn_all_ct_narrsyn_12m,600
trcn_all_vol_narrsyn_12m,600
pos_nwrd_narr_1m,68
pos_nwrd_narr_3m,154
pos_nwrd_narr_6m,303
pos_nwrd_narr_12m,603
pos_nwrd_syn_1m,68
pos_nwrd_syn_3m,154
pos_nwrd_syn_6m,303
pos_nwrd_syn_12m,603
pos_nwrd_call_1m,68
pos_nwrd_call_3m,154
pos_nwrd_call_6m,303
pos_nwrd_call_12m,603
pos_nwrd_narrsyn_1m,68
pos_nwrd_narrsyn_3m,154
pos_nwrd_narrsyn_6m,303
pos_nwrd_narrsyn_12m,603
pos_nwrd_all_1m,68
pos_nwrd_all_3m,154
pos_nwrd_all_6m,303
pos_nwrd_all_12m,603
pos_nwrd_unq_narr_1m,68
pos_nwrd_unq_narr_3m,154
pos_nwrd_unq_narr_6m,303
pos_nwrd_unq_narr_12m,603
pos_nwrd_unq_syn_1m,68
pos_nwrd_unq_syn_3m,154
pos_nwrd_unq_syn_6m,303
pos_nwrd_unq_syn_12m,603
pos_nwrd_unq_call_1m,68
pos_nwrd_unq_call_3m,154
pos_nwrd_unq_call_6m,303
pos_nwrd_unq_call_12m,603
pos_nwrd_unq_narrsyn_1m,68
pos_nwrd_unq_narrsyn_3m,154
pos_nwrd_unq_narrsyn_6m,303
pos_nwrd_unq_narrsyn_12m,603
pos_nwrd_unq_all_1m,68
pos_nwrd_unq_all_3m,154
pos_nwrd_unq_all_6m,303
pos_nwrd_unq_all_12m,603
abrvs_no_ovrcnt_narr_1m,68
abrvs_no_ovrcnt_narr_3m,154
abrvs_no_ovrcnt_narr_6m,303
abrvs_no_ovrcnt_narr_12m,603
abrvs_no_ovrcnt_syn_1m,68
abrvs_no_ovrcnt_syn_3m,154
abrvs_no_ovrcnt_syn_6m,303
abrvs_no_ovrcnt_syn_12m,603
abrvs_no_ovrcnt_call_1m,68
abrvs_no_ovrcnt_call_3m,154
abrvs_no_ovrcnt_call_6m,303
